drawer_id,unit_barcode,spec_position,manual_length_mm,manual_width_mm,time,NOTES,utensil
34_6_6,57026,016,10.6,4.5,,,
34_6_6,57026,017,10.4,4.6,,,
34_6_6,57026,018,14.6,5.8,,,
34_6_6,57026,019,13.8,5.7,,,
34_6_6,57026,020,14.0,5.4,,,
34_6_6,57026,021,13.7,5.2,,,
34_6_6,57026,022,12.2,4.6,,,
34_6_6,57026,023,11.9,4.3,,,
34_6_6,57026,024,11.9,4.3,,,
34_6_6,57026,025,12.3,5.1,,,
34_6_6,57026,026,11.8,4.6,,,
34_6_6,57026,027,12.6,5.6,,,
34_6_6,57026,028,12.0,4.7,,,
34_6_6,57026,029,11.3,4.2,3:30,,
