tray_id,specimen_id,label_group,match_type,verbatim_text,country,stateProvince,county,municipality,locality,verbatimLocality,islandGroup,island,verbatimElevation,habitat,samplingProtocol,recordedBy,identifiedBy,verbatimEventDate,verbatimCoordinates,possibleName,source,otherCatalogNumbers,flags
34_5_7_tray_15,cicindelidae_34_5_7_tray_15_spec_001,,,,Hungary,,,,,,,,,,,,,02 May 2004,,,manual,,
34_5_7_tray_16,cicindelidae_34_5_7_tray_16_spec_001,,,,Mexico,,,,Balsas,Balsas,,,,,,F.E. Lutz,,1901,,,manual,,
34_5_8_tray_01,cicindelidae_34_5_8_tray_01_spec_001,,,,Switzerland,,,,Steyl,Steyl,,,,,,,,,,,manual,,
34_5_8_tray_02,cicindelidae_34_5_8_tray_02_spec_001,,,,Sweden,,,,"Norsta Aura, Gotland","Norsta Aura, Gotland",,,,,,B. Malkin,,26 Jul 1959,,,manual,,
34_5_8_tray_03,cicindelidae_34_5_8_tray_03_spec_004,,,,United States of America,Maine,Hancock,Mount Desert,,,,,,,,,,,,,manual,,
34_5_8_tray_04,cicindelidae_34_5_8_tray_04_spec_001,,,,Hungary,,,Budapest,Ujpest,Ujpest,,,,,,T. Gotzelman,,1903,,,manual,,
34_5_8_tray_05,cicindelidae_34_5_8_tray_05_spec_001,,,,United States of America,Texas,,El Paso,,,,,,,,Darl.,,15-Jun-27,,,manual,,
34_5_8_tray_06,cicindelidae_34_5_8_tray_06_spec_001,,,,United States of America,Washington,,,"Godman Springs, Blue Mountains","Godman Springs, Blue Mountains",,,,,,M.C. Lane,,19 Jun 1932,,,manual,,
34_5_8_tray_07,cicindelidae_34_5_8_tray_07_spec_001,,,,United States of America,Indiana,Montgomery,Crawfordsville,,,,,,,,,,09 Sep 1953,,,manual,,
34_5_8_tray_08,cicindelidae_34_5_8_tray_08_spec_001,,,,United States of America,Oklahoma,Marshall,Willis,,,,,,,,W. Suter,,11 Apr 1969,,,manual,,
34_5_8_tray_09,cicindelidae_34_5_8_tray_09_spec_001,,,,United States of America,Oklahoma,Marshall,Willis,4mi N,4mi N,,,,,,W. Suter,,06 Apr 1969,,,manual,,
34_5_8_tray_10,cicindelidae_34_5_8_tray_10_spec_001,,,,United States of America,North Carolina,,Wallace,,,,,,,,R.W. Collett,,02 Apr 2004,,,manual,,
34_5_8_tray_11,cicindelidae_34_5_8_tray_11_spec_001,,,,United States of America,Wyoming,Weston,Newcastle,,,,,,,,D.E. Lantz,,22 May 2010,,,manual,,
34_5_8_tray_12,cicindelidae_34_5_8_tray_12_spec_001,,,,United States of America,Michigan,Leelanau,Leelanau,Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes National Lakeshore,,,,,,,,02 Aug 1942,,,manual,,
34_5_8_tray_13,cicindelidae_34_5_8_tray_13_spec_001,,,,United States of America,California,San Bernardino,Needles,,,,,,,,B. Malkin,,01 Jul 1953,,,manual,,
34_5_8_tray_14,cicindelidae_34_5_8_tray_14_spec_001,,,,United States of America,Colorado,,,"5mi E of Roggens, Highway 6","5mi E of Roggens, Highway 6",,,,,,,,01 Jun 1969,,,manual,,
34_5_8_tray_15,cicindelidae_34_5_8_tray_15_spec_002,,,,Turkey,,,,,,,,,,,,,,,,manual,,
34_5_8_tray_16,cicindelidae_34_5_8_tray_16_spec_001,,,,United States of America,Utah,,,"Wylie Camp, Zion Canyon","Wylie Camp, Zion Canyon",,,,,,W. Knaus,,16 Jun 2019 – 17 Jun 2019,,,manual,,
34_5_8_tray_18,cicindelidae_34_5_8_tray_18_spec_002,,,,United States of America,Colorado,,,"San Luis Valley, Great Sand Dunes National Park and Preserve","San Luis Valley, Great Sand Dunes National Park and Preserve",,,,,,B. Roger,,26 Jun 1942,,,manual,,
34_5_8_tray_19,cicindelidae_34_5_8_tray_19_spec_001,,,,United States of America,Oregon,,,Harney Lake,Harney Lake,,,,,,Borys Malkin,,28 May 1957,,,manual,,
34_5_8_tray_20,cicindelidae_34_5_8_tray_20_spec_001,,,,United States of America,California,Calaveras,Big Trees,,,,,,,,FEB aisdell,,19 May 1936,,,manual,,
34_5_8_tray_21,cicindelidae_34_5_8_tray_21_spec_001,,,,United States of America,Arkansas,,,Fort Chaffee,Fort Chaffee,,,,,,W. Suter,,03 Nov 1957,,,manual,,
34_5_8_tray_22,cicindelidae_34_5_8_tray_22_spec_001,,,,United States of America,Arizona,,,"Virgin River, 5mi W of Littlefield","Virgin River, 5mi W of Littlefield",,,,,,J.L. Eastin,,18 Apr 1954,,,manual,,
34_5_8_tray_23,cicindelidae_34_5_8_tray_23_spec_001,,,,Kazakhstan,,,Jarkent,"Ili River, Djarkent-Semirjetschensk","Ili River, Djarkent-Semirjetschensk",,,,,,Winkler,,,,,manual,,
34_5_9_tray_01,cicindelidae_34_5_9_tray_01_spec_001,,,,Jamaica,,,Bath,,,,,,,,W. Klopp,,09 Jul 1967,,,manual,,
34_5_9_tray_02,cicindelidae_34_5_9_tray_02_spec_001,,,,Chile,Coquimbo,,Puerto Aldea,,,,,,,,L.E. Pena,,07 Feb 1969,,,manual,,
34_5_9_tray_03,cicindelidae_34_5_9_tray_03_spec_001,,,,United States of America,Florida,Charlotte,Punta Gorda,,,,,,,,H. Ramstadt,,May-53,,,manual,,
34_5_9_tray_04,cicindelidae_34_5_9_tray_04_spec_001,,,,United States of America,Georgia,Wayne,Jesup,,,,,,,,E.C. Williams,,06 Nov 1961,,,manual,,
34_5_9_tray_05,cicindelidae_34_5_9_tray_05_spec_001,,,,United States of America,Utah,,Ogden,,,,,,,,,,14 Jun 1941,,,manual,,
34_5_9_tray_06,cicindelidae_34_5_9_tray_06_spec_001,,,,United States of America,Illinois,,Algonquin,,,,,,,,W.A. Nason,,,,,manual,,
34_5_9_tray_07,cicindelidae_34_5_9_tray_07_spec_001,,,,United States of America,Florida,Alachua,Gainesville,,,,,,,,F.W. Waeler,,,,,manual,,
34_5_9_tray_08,cicindelidae_34_5_9_tray_08_spec_001,,,,Antigua and Barbuda,,,,,"Barbuda, West Indies",,Barbuda,,,,A.F. Porter,,29 Oct 2011,,,manual,,
34_5_9_tray_09,cicindelidae_34_5_9_tray_09_spec_001,,,,United States of America,Oregon,Jackson,Union Creek,,,,,3100–3500 ft,,,B. Malkin,,01 Sep 1950 – 15 Sep 1950,,,manual,,
34_5_9_tray_10,cicindelidae_34_5_9_tray_10_spec_001,,,,United States of America,Alabama,Mobile,Mobile,"West Shore of Mobile Bay, 10mi S of Mobile","West Shore of Mobile Bay, 10mi S of Mobile",,,,,,Henry S. Dybas,,17 Aug 1949 – 20 Aug 1949,,,manual,,
34_5_9_tray_11,cicindelidae_34_5_9_tray_11_spec_001,,,,Chile,Coquimbo,,,Punta Teatinos,Punta Teatinos,,,,,,L.E. Pena,,09 Dec 1964,,,manual,,
34_5_9_tray_12,cicindelidae_34_5_9_tray_12_spec_001,,,,Russia,,,,Amur,Amur,,,,,,,,,,,manual,38,
34_5_9_tray_13,cicindelidae_34_5_9_tray_13_spec_001,,,,Russia,,,,Amur,Amur,,,,,,Radde,,,,,manual,39,
34_6_10_tray_01,cicindelidae_34_6_10_tray_01_spec_001,,,,Mexico,Oaxaca,,Ocotlan de Morelos,,,,,,,,D.B. White,,26 Jun 2022,,,manual,,
34_6_10_tray_02,cicindelidae_34_6_10_tray_02_spec_001,,,,United States of America,Texas,Mitchell,Westbrook,,,,,,,,W. Suter,,13 Aug 1968,,,manual,,
34_6_10_tray_03,cicindelidae_34_6_10_tray_03_spec_001,,,,United States of America,Texas,Denton,Denton,,,,,,,,,,24 Jun 1934,,,manual,,
34_6_10_tray_04,cicindelidae_34_6_10_tray_04_spec_001,,,,Mexico,Oaxaca,,Ocotlan de Morelos,,,,,,,,D.B. White,,11 May 2022,,,manual,,
34_6_10_tray_05,cicindelidae_34_6_10_tray_05_spec_001,,,,United States of America,Arizona,,Tucson,,,,,,,,Dr. F. Psota,,6-Aug-27,,,manual,,
34_6_10_tray_06,cicindelidae_34_6_10_tray_06_spec_001,,,,United States of America,Arizona,,Tucson,,,,,,,,Dr. F. Psota,,7-Aug-27,,,manual,,
34_6_10_tray_07,cicindelidae_34_6_10_tray_07_spec_001,,,,United States of America,Oklahoma,Marshall,Willis,5mi N,5mi N,,,,,,W. Suter,,15 Jul 1968,,,manual,,
34_6_10_tray_08,cicindelidae_34_6_10_tray_08_spec_001,,,,Mexico,,,,,,,,,,,,,,,,manual,26,
34_6_10_tray_09,cicindelidae_34_6_10_tray_09_spec_001,,,,United States of America,Arizona,,Tucson,,,,,,,,R.G. Schmidt,,,,,manual,,
34_6_10_tray_10,cicindelidae_34_6_10_tray_10_spec_001,,,,United States of America,Texas,Lee,Lee,,,,,,,,Rev. G. Birkmann,,12 Aug 2026,,,manual,,
