tray,specimen_id,country,stateProvince,county,municipality,verbatimLocality,locality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates
34_4_7_tray_07,34_4_7_tray_07_spec_001,United States,Georgia,Wayne,Jesup,,,,,,,,,E.C. Williams,6.XI.1961,,
34_4_7_tray_07,34_4_7_tray_07_spec_002,United States,Indiana,Montgomery,Crawfordsville,,,,,,,,,E.C. Williams,11.IX.1953,,
34_4_7_tray_07,34_4_7_tray_07_spec_003,United States,Indiana,Montgomery,Crawfordsville,,,,,,,,,E.C. Williams,27.IX.1953,,
34_4_7_tray_07,34_4_7_tray_07_spec_004,United States,Indiana,Montgomery,Crawfordsville,,,,,,,,,E.C. Williams,7.X.1956,,
34_4_7_tray_07,34_4_7_tray_07_spec_005,United States,Indiana,Montgomery,Crawfordsville,,,,,,,,,E.C. Williams,27.V.1954,,
34_4_7_tray_07,34_4_7_tray_07_spec_006,Canada,Ontario,,Atikokan,,,,,,,,,E.C. Williams,24.V.1956,,
34_4_7_tray_07,34_4_7_tray_07_spec_007,United States,Illinois,,Joliet,,,,,,,,,C. Seevers,Sept. 1934,J. Louderman,
34_4_7_tray_07,34_4_7_tray_07_spec_008,United States,Indiana,Porter,,,Indiana Dunes State Park,,,,,,,,1972,,
34_4_7_tray_07,34_4_7_tray_07_spec_009,United States,Indiana,Porter,,,Indiana Dunes State Park,,,,,,,,1972,,
34_4_7_tray_07,34_4_7_tray_07_spec_010,United States,Illinois,Lake,Waukegan,,,,,,,,,E.C. Williams,20.IV.1936,,
34_4_7_tray_07,34_4_7_tray_07_spec_011,United States,Wisconsin,Door,Sturgeon Bay,,,,,,,,,E.C. Williams,1.IX.1935,,
34_4_7_tray_07,34_4_7_tray_07_spec_012,United States,Illinois,Lake,Waukegan,,,,,,,,,E.C. Williams,25.VIII.1934,,
34_4_7_tray_07,34_4_7_tray_07_spec_013,United States,Illinois,,New Lenox,,,,,,,,,C.R. Pearson,12-VII-1946,,
34_4_7_tray_07,34_4_7_tray_07_spec_014,United States,Illinois,,New Lenox,,,,,,,,,D.F. Chapp,2 Oct 1948,,
34_4_7_tray_07,34_4_7_tray_07_spec_015,United States,Wisconsin,Door,Sturgeon Bay,,,,,,,,,E.C. Williams,1.IX.1935,,
34_4_7_tray_07,34_4_7_tray_07_spec_016,United States,Illinois,Lake,Highland Park,,,,,,,,,E.C. Williams,14.IX.1935,,
34_4_7_tray_07,34_4_7_tray_07_spec_017,United States,Illinois,Lake,Highland Park,,,,,,,,,E.C. Williams,14.IX.1935,,
34_4_7_tray_07,34_4_7_tray_07_spec_018,United States,Illinois,,New Lenox,,,,,,,,,Barth Maina,IV-12-1941,,
34_4_7_tray_07,34_4_7_tray_07_spec_019,United States,Wisconsin,Door,Sturgeon Bay,,,,,,,,,E.C. Williams,1.ix.1935,,
34_4_7_tray_07,34_4_7_tray_07_spec_020,United States,Iowa,,Iowa City,,,,,,,,,M.P. Somes,9/6/08,,
34_4_7_tray_07,34_4_7_tray_07_spec_021,United States,Iowa,,,,,Millers Bay,,,,,,W. Okobaji,VII-8,,
34_4_7_tray_07,34_4_7_tray_07_spec_022,United States,Iowa,,,,,Millers Bay,,,,,,W. Okobaji,VII-8,,
34_4_7_tray_07,34_4_7_tray_07_spec_023,United States,Iowa,,,,,Center Lake,,,,,,A.E. Yocom,7/2/11,,
34_4_7_tray_07,34_4_7_tray_07_spec_024,United States,Iowa,,,,,Center Lake,,,,,,A.E. Yocom,7/2/11,,
